"Item ID","Category","Item Name","Price (₹)","In Stock","Diet","Tags","Description"
"egg-burger","burgers","Egg Burger","70","TRUE","Egg","Egg Special, Juicy","Spiced golden pan-fried egg patty topped with sliced onions, greens and tangy burger dressing."
"veg-pizza","pizza-veg","Veg Pizza","179","TRUE","Veg","100% Veg, Fresh Crust","Hand-stretched pizza base topped with marinara sauce, crisp bell peppers, onions, tomatoes and melted mozzarella."
"golden-corn-pizza","pizza-veg","Golden Corn Pizza","210","TRUE","Veg","Sweet Corn, Cheesy","Sweet American golden corn kernels layered generously over rich molten mozzarella and Italian seasoning."
"veggie-mushroom-pizza","pizza-veg","Veggie Mushroom Pizza","210","TRUE","Veg","100% Veg, Button Mushroom","Sautéed fresh button mushrooms, caramelized red onions, aromatic herbs and strings of mozzarella."
"onion-capsicum-pizza","pizza-veg","Onion Capsicum Pizza","210","TRUE","Veg","100% Veg, Crunchy","Classic combination of crunchy green capsicum, sliced red onions, herbed tomato sauce and mozzarella cheese."
"cheese-pizza","pizza-veg","Cheese Pizza","250","TRUE","Veg","Extra Cheesy, Bestseller","Loaded double layers of stringy, gooey mozzarella and cheddar cheese over rich Italian tomato sauce."
"periperi-spicy-pizza","pizza-veg","Peri Peri Spicy Pizza","210","TRUE","Veg","Spicy 🔥, Peri Peri","Fiery African peri-peri seasoned garden vegetables, red paprika, sliced jalapeños and spicy mozzarella."
"chicken-pizza","pizza-nonveg","Chicken Pizza","230","TRUE","Non-Veg","Bestseller, Juicy Chicken","Succulent herb-spiced chicken chunks, bell peppers, diced onions and bubbling melted mozzarella cheese."
"peri-peri-chicken-pizza","pizza-nonveg","Peri Peri Chicken Pizza","240","TRUE","Non-Veg","Spicy 🔥, Peri Peri","Fiery peri-peri marinated chicken tikka pieces, hot jalapeños, chili flakes and molten mozzarella."
"chicken-margarita-pizza","pizza-nonveg","Chicken Margarita Pizza","240","TRUE","Non-Veg","Classic Basil, Italian Style","Juicy roasted chicken on classic Italian tomato basil sauce, olive oil glaze and fresh melted mozzarella."
"chicken-salami-pizza","pizza-nonveg","Chicken Salami Pizza","280","TRUE","Non-Veg","Chef Special, Smoked Salami","Premium sliced smoked chicken salami rounds, aromatic dried oregano, garlic oil and rich mozzarella."
"chicken-sausage-pizza","pizza-nonveg","Chicken Sausage Pizza","240","TRUE","Non-Veg","Chicken Sausage, Loaded","Juicy sliced chicken frankfurter sausages, sautéed onions, green peppers and golden melted cheese."
"french-fries","fries","French Fries","70","TRUE","Veg","Crispy, Classic","Crispy golden potato fingers tossed in sea salt, served hot with tangy tomato ketchup."
"peri-peri-fries","fries","Peri Peri Fries","90","TRUE","Veg","Spicy 🔥, Peri Peri","Golden crispy french fries shaken in spicy peri-peri masala dust. Hot, tangy & addictive!"
"cheese-fries","fries","Cheese Fries","100","TRUE","Veg","Loaded Cheese, Cheesy Melt","Hot crispy fries drenched under thick, warm creamy melted yellow cheddar cheese sauce."
"egg-fried-rice","fried-rice","Egg Fried Rice","50","TRUE","Egg","Wok Tossed","Wok-tossed basmati rice with scrambled egg, roasted garlic and fresh spring onions."
"gobi-fried-rice","fried-rice","Gobi Fried Rice","60","TRUE","Veg","100% Veg","Crispy wok cauliflower florets with aromatic garlic fried rice and spicy pepper seasoning."
"paneer-fried-rice","fried-rice","Paneer Fried Rice","70","TRUE","Veg","100% Veg, Fresh Paneer","Golden paneer cubes tossed with crunchy bell peppers, garlic soy glaze, and fragrant basmati rice."
"chicken-fried-rice","fried-rice","Chicken Fried Rice","70","TRUE","Non-Veg","Bestseller, High Flame Wok","Aromatic basmati rice tossed in high-flame wok with tender chicken cubes, egg scramble & spring onions."
"egg-noodles","noodles","Egg Noodles","50","TRUE","Egg","Street Style","Classic street-style wok noodles tossed with spiced egg ribbons, shredded cabbage & carrots."
"gobi-noodles","noodles","Gobi Noodles","50","TRUE","Veg","100% Veg","Tangy street noodles packed with crunchy spiced cauliflower florets, chili garlic & soy sauce."
"paneer-noodles","noodles","Paneer Noodles","60","TRUE","Veg","100% Veg, Soft Paneer","Soft paneer slivers stir-fried with rich garlic, soy glaze, spring onions & chili coated noodles."
"chicken-schezwan-noodles","noodles","Chicken Schezwan Noodles","70","TRUE","Non-Veg","Spicy Schezwan 🔥, Bestseller","Fiery red schezwan sauce wok noodles loaded with succulent chicken cubes, garlic, and fresh greens."
"veg-fried-momos","momos","Veg Fried Momos","80","TRUE","Veg","100% Veg, Crispy Fried","Golden crispy deep-fried dumplings stuffed with finely minced vegetables, served with fiery red chutney & mayo dip."
"chicken-fried-momos","momos","Chicken Fried Momos","100","TRUE","Non-Veg","Juicy Chicken, Crispy Fried","Golden crispy deep-fried dumplings stuffed with juicy seasoned chicken mince, served with fiery red chutney & mayo dip."
"chilli-chicken","starters","Chilli Chicken","120","TRUE","Non-Veg","Chef Special 👨‍🍳, Spicy 🔥","Crispy fried chicken chunks tossed in spicy dark soy, fresh green chilies, capsicum, and spring onions."
"chicken-pakoda","starters","Chicken Pakoda","100","TRUE","Non-Veg","Street Style Fritters, Hot & Crispy","Crispy, gram-flour coated street style spicy chicken fritters served piping hot with sliced onions & lemon."
